Organization ID,Organization Name,Short Name,Organization Type,Status,Website,Parent Organization,Categories
298526,Delta Gamma,DG,Default,Active,http://uoregon.deltagamma.org/,Fraternity & Sorority Life,
298573,Delta Sigma Phi,DSP,Default,Active,,Fraternity & Sorority Life,
298613,Delta Tau Delta,Delts,Default,Active,,Fraternity & Sorority Life,
298506,Delta Upsilon,DU,Default,Active,,Fraternity & Sorority Life,
298579,Delta Zeta,DZ,Default,Active,,Fraternity & Sorority Life,
298680,Desi Dhamaka,UODD,Independent Student Organization,Inactive,,CSI Registered Student Organizations,
298648,Design for America,DFA,Hidden,Inactive,,ASUO Student Organizations,
337881,Developers Club,,Independent Student Organization,Active,,CSI Registered Student Organizations,Academic | Career Development
298427,DISC GOLF,Disc Golf,Default,Active,,Club Sports,
298675,"Diverse Organization of Business Students, University of Oregon Chapter",DOBS,Independent Student Organization,Active,,CSI Registered Student Organizations,
298430,Divisi,,Tier 2 Student Organization,Active,,ASUO Student Organizations,
298782,Duck Nest Wellness Center,Duck Nest,Department Facilitated,Active,https://health.uoregon.edu/ducknest,CSI Registered Student Organizations,
334724,Duck Samba,Duck Samba,Independent Student Organization,Active,,CSI Registered Student Organizations,Cultural | Education | International | Multicultural | Recreational
356294,Duck Soup Cooking Club,,Independent Student Organization,Active,http://www.ducksoup.club,CSI Registered Student Organizations,Media
298533,Duck Street Dance Club,DSDC,Tier 2 Student Organization,Active,,ASUO Student Organizations,
298690,Ducks After Dark,DAD,Student Activities Board,Active,https://emu.uoregon.edu/csi,CSI Registered Student Organizations,
298841,Ducks and Dragons (The Dungeons and Dragons Club),DnD,Independent Student Organization,Active,https://discord.gg/4aPb7X2uaD,CSI Registered Student Organizations,
298831,Ducks for Israel,D4I,Independent Student Organization,Active,,CSI Registered Student Organizations,
298781,Ducks Go Pro,Ducks Go Pro,Closed Branch Organizations,Inactive,,Student Life,
338134,Ducks in the Public Square,DITPS,Department Facilitated,Active,,CSI Registered Student Organizations,Career Development | Departmental | Education | Professional
298756,Ducks With Diabetes,DWD,Independent Student Organization,Inactive,,CSI Registered Student Organizations,
298888,Earl Hall,EH,Closed Branch Organizations,Inactive,,Student Life,
298591,Ecological Design Center,EDC,Tier 4 Student Organization,Active,http://hopes.uoregon.edu,ASUO Student Organizations,
298464,Economics Club,UOEC,Tier 2 Student Organization,Active,http://blogs.uoregon.edu/econclub/,ASUO Student Organizations,
298476,Emerald City Chess Club,UO Chess Club,Tier 1 Student Organization,Active,https://discord.gg/bVu8sgHext,ASUO Student Organizations,
298543,Emerging Leaders in the Arts Network,ELAN,Tier 1 Student Organization,Active,,ASUO Student Organizations,
298705,Empower UO,Empower UO,Hidden,Inactive,,CSI Registered Student Organizations,
298806,EMU Board,EMU Board,Department Facilitated,Active,https://emu.uoregon.edu/about/board,CSI Registered Student Organizations,
298691,EMU Outdoor Program,OP,Department/Non-Student Org,Active,,Student Life,
298832,EMU Student Employees,EMU Student Emp,Department/Non-Student Org,Active,,Student Life,
298589,English Undergraduate Organization,EUO,Tier 2 Student Organization,Active,"https://english.uoregon.edu/undergraduate/clubs-activities/euo-english-undergraduate-organization#:~:text=University%20of%20Oregon%20English%20Undergraduate,at%20the%20University%20of%20Oregon.",ASUO Student Organizations,
298770,Enthusiast Club,E!,Hidden,Inactive,,CSI Registered Student Organizations,
298599,Entrepreneurship at UO,Entrepreneurship,Closed Branch Organizations,Inactive,,Student Life,
298805,Envision Journalism,Envision,Tier 1 Student Organization,Active,,ASUO Student Organizations,
298883,Epic Movement,EM,Tier 2 Student Organization,Active,,ASUO Student Organizations,
298595,EQUESTRIAN,Equestrian,Default,Active,,Club Sports,
298874,ESPORTS,ESPORTS,Hidden,Inactive,,Club Sports,
298760,Family Housing and University Apartments,FHUA,Closed Branch Organizations,Inactive,,Student Life,
298899,Fashion/Clothing Design Club,FCDC,Independent Student Organization,Active,,CSI Registered Student Organizations,
359186,Federalist Society,FedSoc,Department Facilitated,Active,,CSI Registered Student Organizations,Academic | Education | Graduate  | Human Rights | Law | Political
298885,Federalist Society - University of Oregon Chapter,FedSoc,Closed Branch Organizations,Inactive,,Student Life,
298474,FENCING,FENCING,Hidden,Inactive,,Club Sports,
298840,Fiction Writing Club,FWC,Tier 1 Student Organization,Active,,ASUO Student Organizations,
355521,FIGURE SKATING,,Default,Active,,Club Sports,
298863,Finance at UO,CCFSA,Closed Branch Organizations,Inactive,,Student Life,
298687,Financial Literacy of Oregon,FLO,Hidden,Inactive,,CSI Registered Student Organizations,
298706,Fly Fishing and Conservation Club,F2C2,Independent Student Organization,Inactive,,CSI Registered Student Organizations,
362375,Food Justice Initiative,,Independent Student Organization,Active,,CSI Registered Student Organizations,Career Development | Environment | Law | Political | Poverty Alleviation | Public Health | Service | Service Learning | Social Justice | Volunteer
298560,"Forbidden Fruit- Eugene's ONLY Live Shadow Cast of ""The Rocky Horror Picture Show""",Forbidden Fruit,Tier 2 Student Organization,Active,https://linktr.ee/eugenesforbiddenfruit,ASUO Student Organizations,
224759,Fraternity & Sorority Life,,Branch,Active,,,
298879,Frohnmayer Leadership Program,OLaw - FLP,Closed Branch Organizations,Inactive,,Student Life,
298535,FSL Sexual Violence Prevention Task Force,FSL Task Force,Default,Active,,Fraternity & Sorority Life,
356293,Game Development Club at UO,Game Dev at UO,Independent Student Organization,Active,https://discord.gg/VxVB4g4Kqx,CSI Registered Student Organizations,Academic | Career Development | Education | Media
298441,Gaming Club at the University of Oregon,GamingClub@UO,Independent Student Organization,Active,https://discord.gg/R537VXraxz,CSI Registered Student Organizations,
298661,"Gamma Alpha Omega Sorority, Inc.",Gamma Alpha Omega,Default,Active,,Fraternity & Sorority Life,
298619,Gamma Phi Beta,Gphi,Default,Active,,Fraternity & Sorority Life,
298542,Geography Club,GC,Hidden,Inactive,https://geography.uoregon.edu/undergrad/geography-club/,ASUO Student Organizations,
298422,Get Involved Network,GIN,Department/Non-Student Org,Active,,Student Life,
298618,Global Education Oregon (GEO) Study Abroad,GEO,Department/Non-Student Org,Active,https://geo.uoregon.edu/,Student Life,
298878,Global Scholars Hall,GSH,Closed Branch Organizations,Inactive,,Student Life,
298733,Glorious Band,Band.G,Independent Student Organization,Inactive,,CSI Registered Student Organizations,
298795,GOLF,GOLF,Default,Active,,Club Sports,
298739,Good Food Group,GFG,Hidden,Inactive,,ASUO Student Organizations,
368473,Google Developer Student Club University of Oregon,GDSC UO,Department Facilitated,Active,,CSI Registered Student Organizations,Departmental
298405,Graduate Ecology and Evolutionary Biology Students,GrEBES,Tier 3 Student Organization,Active,https://grebesuo.wordpress.com/,ASUO Student Organizations,
298674,Graduate Linguists of Oregon Student Society,GLOSS,Tier 3 Student Organization,Active,https://blogs.uoregon.edu/gloss/,ASUO Student Organizations,
298561,Graduate Student Association,GSA,Hidden,Inactive,,ASUO Student Organizations,
312436,Graduate Women in Business,GWIB,Tier 1 Student Organization,Active,,ASUO Student Organizations,Career Development | Graduate 
298695,Greeks Go Green,GGG,Independent Student Organization,Active,,CSI Registered Student Organizations,
298411,Green Business Initiative Student Association,GBISA,Tier 4 Student Organization,Active,,ASUO Student Organizations,
298887,Growth International Volunteer Excursions,GIVE Volunteers,Independent Student Organization,Inactive,,CSI Registered Student Organizations,
298828,Guest Services,Guest Services,Department/Non-Student Org,Active,,Student Life,
298801,Gun Control in the United States,GCUS,Independent Student Organization,Inactive,,CSI Registered Student Organizations,
298897,Hamilton East Hall,HEH,Closed Branch Organizations,Inactive,,Student Life,
298663,Hamilton West Hall,HWH,Closed Branch Organizations,Inactive,,Student Life,
320351,Health & Justice,,Independent Student Organization,Active,,CSI Registered Student Organizations,Human Rights | Law | Political | Public Health | Social Justice
298771,Helping Out People Everywhere,HOPE,Independent Student Organization,Active,,CSI Registered Student Organizations,
298730,Her Campus Oregon,HCO,Tier 1 Student Organization,Active,,ASUO Student Organizations,
298864,Hindu Student Association,HSA,Hidden,Inactive,,CSI Registered Student Organizations,
298808,Hip Hop Dance Club at University of Oregon,Flock Rock Crew,Independent Student Organization,Active,,CSI Registered Student Organizations,
298698,Hip-Hop Worldwide,HHWW,Hidden,Inactive,,CSI Registered Student Organizations,
298413,HOCKEY,HOCKEY,Default,Active,,Club Sports,
299158,Holden Center for Leadership & Community Engagement,Holden Center,Department/Non-Student Org,Active,https://holden.uoregon.edu/,Student Life,Departmental
298642,Hong Kong Student Association,HKSA,Tier 3 Student Organization,Active,https://linktr.ee/uo_hksa,ASUO Student Organizations,
298500,Honor Society of Friars,Friars,Tier 1 Student Organization,Active,,ASUO Student Organizations,
298817,Housing Events Resource Office,HERO,Closed Branch Organizations,Inactive,,Student Life,
298870,Housing Front Desk,HFD,Closed Branch Organizations,Inactive,,Student Life,
298761,Housing Service Centers,HSC,Closed Branch Organizations,Inactive,,Student Life,
298657,HuaFeng Magazine,HuaFeng,Tier 3 Student Organization,Active,,ASUO Student Organizations,
298471,Hui' O Hawai'i,Hawaii Club,Tier 4 Student Organization,Active,,ASUO Student Organizations,
298525,IMPACT,IMPACT,Department Facilitated,Inactive,,CSI Registered Student Organizations,
298772,Industrial Designers Society of America - Student Chapter,IDSA - Student Chapter,Tier 2 Student Organization,Active,https://www.idsa.org/education/id-schools/university-oregon,ASUO Student Organizations,
298875,Innovation & Entrepreneurship Club,I&E Club,Closed Branch Organizations,Inactive,,Student Life,
298460,Interfraternity Council Executive Board,IFC Exec,Default,Active,,Fraternity & Sorority Life,
298569,International Business and Economics Club,IBEC,Tier 3 Student Organization,Active,https://blogs.uoregon.edu/uoibec/,ASUO Student Organizations,
298821,International Business Association,IBA,Tier 3 Student Organization,Active,,ASUO Student Organizations,
298557,"International City/County Management Association, UO Chapter",ICMA UO,Hidden,Inactive,,CSI Registered Student Organizations,
298861,International Interior Design Association,IIDA,Hidden,Inactive,,CSI Registered Student Organizations,
298544,International Student Association,ISA,Tier 4 Student Organization,Active,,ASUO Student Organizations,
298822,International Student Career Alliance,ISCA,Department/Non-Student Org,Active,,Student Life,
298658,International Studies Student Coalition,ISSC,Hidden,Inactive,,ASUO Student Organizations,
338469,iOS Development Club,iOS DC,Department Facilitated,Active,https://appledevelopmentcl.wixsite.com/uoiosclub,CSI Registered Student Organizations,Academic | Education
298404,Japanese Student Organization,JSO,Tier 3 Student Organization,Active,,ASUO Student Organizations,
304716,Jewish Law Student Association,JLSA,Tier 1 Student Organization,Active,,ASUO Student Organizations,
298692,Jewish Student Union,JSU,Tier 1 Student Organization,Active,,ASUO Student Organizations,
341039,JHealth Pre-Health Society,JHealth ,Independent Student Organization,Active,https://olami.org/jhealth/,CSI Registered Student Organizations,Career Development | Education | International | Professional
298431,JIU JITSU,JIU JITSU CLUB,Default,Active,,Club Sports,
298819,Jordan Schnitzer Museum of Art Student Member Advocacy Council,JSMAC,Hidden,Inactive,https://jsma.uoregon.edu/JSMAC,ASUO Student Organizations,
298408,Journal of Environmental Law and Litigation,JELL,Tier 2 Student Organization,Active,,ASUO Student Organizations,
298493,Journalist/Photographer Exploration Group,J.P.E.G.,Tier 1 Student Organization,Active,http://uojpeg.org,ASUO Student Organizations,
343432,JStreetU ,,Independent Student Organization,Active,https://jstreet.org/j-street-u,CSI Registered Student Organizations,Human Rights | International | Political | Social Justice
298793,Junior Greek Council,JGC,Hidden,Inactive,,Fraternity & Sorority Life,
369458,Just1Mike ,,Independent Student Organization,Active,https://www.just1mike.org,CSI Registered Student Organizations,Service | Service Learning | Volunteer
298882,Justice Bean Hall,JBH,Closed Branch Organizations,Inactive,,Student Life,
298683,K.aire,K.aire,Tier 3 Student Organization,Active,https://www.tiktok.com/@k.aire?is_from_webapp=1&sender_device=pc,ASUO Student Organizations,
298682,Kalapuya Ilihi Hall,KIH,Closed Branch Organizations,Inactive,,Student Life,
298504,Kappa Alpha Theta,Theta,Default,Active,,Fraternity & Sorority Life,
298530,Kappa Delta (Alpha Lambda),KayDee,Default,Active,http://uoregon.kappadelta.org,Fraternity & Sorority Life,
298886,Kappa Delta Chi,KDChi,Hidden,Inactive,,Fraternity & Sorority Life,
298547,Kappa Kappa Gamma,KKG,Default,Active,https://uoregon.kappa.org/,Fraternity & Sorority Life,
298465,Kappa Sigma,KE,Hidden,Inactive,,Fraternity & Sorority Life,
355546,KENDO,,Default,Active,https://blogs.uoregon.edu/kendo/,Club Sports,
298778,Kitchen Sync Magazine,KSM,Tier 1 Student Organization,Active,,ASUO Student Organizations,
298729,Korean at University of Oregon Buddy,KUO Buddy,Independent Student Organization,Inactive,https://www.facebook.com/groups/494655964652219/,CSI Registered Student Organizations,
356545,Korean Philanthropic Society,KPS,Independent Student Organization,Active,https://www.instagram.com/uo_kps/,CSI Registered Student Organizations,Cultural | Volunteer
298472,Korean Student Association,KSA,Tier 3 Student Organization,Active,,ASUO Student Organizations,
367711,K-Pop Club at UO,,Independent Student Organization,Active,https://linktr.ee/kpopclub_UO,CSI Registered Student Organizations,Media
298412,Kultura Pilipinas,KP,Tier 4 Student Organization,Active,,ASUO Student Organizations,
298871,KWVA,KWVA,Department/Non-Student Org,Active,,Student Life,
