Organization Id,Organization Name,Short Name,Organization Description,Organization Summary,Organization Type,Status,Website Url,Facebook Url,Instagram Url,Twitter Url,YouTube Channel Url,Parent Organization Name
298420,Psi Chi,Psi Chi,"<p>Psi Chi is an international honor society that encourages, stimulates, and maintains excellence in scholarship of individuals in all fields, particularly psychology, and advances the science of psychology.</p>","Psi Chi is an international honor society that encourages, stimulates, and maintains excellence in scholarship of individuals in all fields, particularly psychology, and advances the science of psychology.",Tier 2 Student Organization,Active,https://blogs.uoregon.edu/psichi/,https://www.facebook.com/groups/1913422668950168/,https://www.instagram.com/uopsichi/,,,ASUO Student Organizations
298421,Taiwanese Student Association,TWSA,"<p>The mission of the Taiwanese Students Association (TWSA) is to coordinate academic, social, and cultural activities for Taiwanese students and&nbsp;other University of Oregon students. We are dedicated to assisting students with&nbsp;Taiwanese backgrounds&nbsp;to adjust their life in the United States. We also strive to create a welcoming community between international and domestic students as well as Taiwanese and non-Taiwanese students. To do so, we create opportunities to enhance the relationship between TWSA members and the community&nbsp;by presenting cultural events and activities that stimulate a better understanding of Taiwanese culture and add cultural diversity at the University of Oregon.&nbsp;</p>","The main purpose of the Taiwanese Students Association (TWSA) is to coordinate academic, social, and cultural activities for Taiwanese students as well as UO community members interested in Taiwanese culture.",Tier 3 Student Organization,Active,,https://www.facebook.com/groups/uotwsa/,https://www.instagram.com/uo_twsa/,,,ASUO Student Organizations
298423,Philosophy Club,Philosophy Club,"This club represents the interests and activities of the graduate student body of the philosophy department at the University of Oregon.  Through the Philosophy Club grad students are able to share and workshop their current research, build community through social activities and engage with the broader philosophical community on campus through the annual What Is...? Conference, which invites undergrads, grads, and professors to present on a new topic each year.","This club represents the interests and activities of the graduate student body of the philosophy department at the University of Oregon.  Through the Philosophy Club grad students are able to share and workshop their current research, build community t...",Hidden,Inactive,,,,,,ASUO Student Organizations
298425,National Society of Leadership and Success (Sigma Alpha Pi),NSLS,"<p>The National Society of Leadership and Success or NSLS is an organization that focuses on instilling members with the skills, tools, and techniques to become outstanding leaders. Our organization&nbsp;provides members with access to a job bank full of employment opportunities, awards &amp; scholarships, and&nbsp;live interviews with America's distinguished leaders!</p>","The National Society of Leadership and Success or NSLS is an organization that focuses on instilling members with the skills, tools, and techniques to become outstanding leaders. Our organization provides members with access to a job bank full of emplo.",Tier 1 Student Organization,Active,https://www.nsls.org/,,https://www.instagram.com/nslsuo/,,,ASUO Student Organizations
298428,University of Oregon Circle K International,UO CKI,"University of Oregon's Circle K International is a student-led service organization dedicated to helping the community through various service projects across the United States. It is part of an umbrella of organizations led by Kiwanis International. In addition to helping the community, Circle K International strives itself in building fellowship and creating leaders within the members. ",University of Oregon's Circle K International is a student-led service organization dedicated to helping the community through various service projects across the United States. It is part of an umbrella of organizations led by Kiwanis International. I...,Hidden,Inactive,,http://facebook.com/groups/32741833215/,,http://twitter.com/UOCKI,,ASUO Student Organizations
298429,Black Student Union,BSU,"<p>The Black Student Union is an organization whose primary function is the support of students of African descent on the campus of the University of Oregon. Through the promotion of academic achievement and sponsorship of cultural activities, the Black Student Union seeks to build and maintain community spirit among the University&rsquo;s African-American population that will enhance the educational and cultural development of the University community as a whole.</p>","The Black Student Union (BSU) sponsors cultural and social activities that serve the entire University of Oregon (U of O) community. Through these events, the BSU provides opportunities for students to develop leadership skills, a stimulating learning ...",Tier 4 Student Organization,Active,,,http://www.instagram.com/uobsu,http://twitter.com/@UOREGONBSU,,ASUO Student Organizations
298430,Divisi,,"<p>Divisi is the premier all-female a cappella singing group from the University of Oregon. Constantly striving to achieve the highest quality of music and performance, Divisi has become one of the most well-known and admired collegiate groups in the nation. Over their fourteen year existence, Divisi has toured the country, competed in the International Championship of Collegiate A Cappella, and recorded five highly praised albums. Divisi also continues to perform for free every Friday afternoon on the University of Oregon campus, as well as perform all over the state of Oregon. Divisi holds open auditions every Fall and every Spring term. If you are interested in auditioning, please check our website or email us for more details.</p>","Divisi is the premier all-female a cappella singing group from the University of Oregon.Constantly striving to achieve the highest quality of music and performance, Divisi has become one of the most well-known and admired collegiate groups in the natio...",Tier 2 Student Organization,Active,,,,http://twitter.com/uodivisi,,ASUO Student Organizations
298432,Vietnamese Student Association,VSA,"<p>The UO Vietnamese Student Association is a student organization that aims to promote Vietnamese and Vietnamese-American culture and awareness throughout campus and the Eugene community. Through working with other cultural groups on campus, we hope to contribute to the diverse UO community and promote it as one that is multifaceted, as well as rich with differences and similarities.</p>","The UO Vietnamese Student Association is a student organization that aims to promote Vietnamese and Vietnamese-American culture and awareness throughout campus and the Eugene community. Through working with other cultural groups on campus, we hope to c...",Tier 3 Student Organization,Active,http://vsa.uoregon.edu,http://facebook.com/uovsa,https://www.instagram.com/uovsa/?hl=en,http://twitter.com/uovsa,https://www.youtube.com/user/UOVSA,ASUO Student Organizations
298433,Net Impact Undergraduate Chapter,NIUG,"<p><span style=""font-weight: 400;"">Net Impact is a global network of over 435 chapters and 100,000 emerging leaders using the power of business to create a more just and sustainable world.</span></p>\r\n<p>&nbsp;</p>\r\n<p><span style=""font-weight: 400;"">We are the University of Oregon&rsquo;s Undergraduate Chapter of Net Impact, empowering students to navigate the intersection of business, social responsibility, and sustainability by facilitating networking trips, seminars, and social impact projects. Our aim is to develop our members&rsquo; professional skills and their expertise on sustainable business practices while also creating a tight-knit community of like-minded leaders.</span></p>\r\n<p>&nbsp;</p>\r\n<p><span style=""font-weight: 400;"">While housed in the Lundquist College of Business, we are open to students from all academic backgrounds. We also ensure free membership for all of our members thanks to our partners&mdash;the Center for Sustainable Business Practices and Associated Students of the University of Oregon. Our general meetings take place every Thursday at 6:00 PM in Lillis 455 or over Zoom.</span></p>","Net Impact Undergraduate Chapter at the University of Oregon is an international student-run nonprofit organization located in the Lundquist College of Business. We combine aspects of student culture, work, and having a positive net impact. We do this ..",Tier 4 Student Organization,Active,,http://facebook.com/UONIUndergrad,https://www.instagram.com/netimpactuo/,http://twitter.com/NetImpactUO,,ASUO Student Organizations
298435,Association of School Psychology Students,ASPS,"<p>The mission of ASPS is to provide support, advocacy, and leadership opportunities for SPSY students within the College of Education, the broader University of Oregon campus as well as in the community. ASPS strives to provide a collaborative environment for students to explore and address concerns that affect their educational experiences and environment through open dialogue, collaboration, and social interactions. ASPS seeks to promote student voices, support underrepresented students, foster awareness on diverse needs, engage in student advocacy that promotes the spirit of social justice, as well as actively address student issues.</p>","The mission of ASPS is to provide support, advocacy, and leadership opportunities for SPSY students within the College of Education, the broader University of Oregon campus as well as in the community. ASPS strives to provide a collaborative environmen...",Tier 2 Student Organization,Active,,,,,,ASUO Student Organizations
298437,UO Smash Club,UO Smash Club,"<p>The premier Super Smash Brothers group of the University of Oregon, we strive to create a safe space for all smashers. We play all smash games with a focus towards Melee and Ultimate, and hold weekly meetings on campus for anyone who wants to play. Bring what ever setups you can and please bring your own controller. Please join our Discord (<a class=""x_x_x_x_x_anchor-3Z-8Bb x_x_x_x_x_anchorUnderlineOnHover-2ESHQB"" tabindex=""0"" title=""https://discord.gg/KfFdmfv4C7"" href=""https://discord.gg/KfFdmfv4C7"" target=""_blank"" rel=""noreferrer noopener"">https://discord.gg/KfFdmfv4C7</a>) for the most up-to-date info, or check our Twitter for events!</p>","The premier Super Smash Brothers group of the University of Oregon, we strive to create a safe space for all smashers. We play all smash games with a focus towards Melee and Ultimate, and hold weekly meetings on campus.",Tier 2 Student Organization,Active,https://discord.gg/KfFdmfv4C7,,,,,ASUO Student Organizations
298443,Association of Women in Sports Media,AWSM,"The Association for Women in Sports Media (AWSM) is a 501(c)(3) nonprofit founded in 1987. AWSM works as a support network and advocacy group for women who work in sports writing, editing, broadcast and production, and public and media relations. AWSM works to increase diversity in sports media through their internship and scholarship programs. They provide mentoring for young female professionals entering into sports media.\r\n\r\nThe student chapter of AWSM at the University of Oregon was founded in 2014 by former student Beth Maiman and faculty advisor Lori Shontz.\r\n\r\nUO AWSM Mission Statement: Encouraging women to be leaders in the sports media industry by providing opportunities to learn about the varying professions and develop essential skills.\r\n","The Association for Women in Sports Media (AWSM) is a 501(c)(3) nonprofit founded in 1987. AWSM works as a support network and advocacy group for women who work in sports writing, editing, broadcast and production, and public and media relations. AWSM ...",Tier 1 Student Organization,Active,,http://facebook.com/awsmuo,,http://twitter.com/awsmuo,,ASUO Student Organizations
298444,University of Oregon College Republicans,UOCR,"<p>The College Republican National Committee is the oldest, largest, and most active youth political organization in America, and the grassroots arm of the Republican Party--a counterbalance to unions and leftist interest groups. Founded in 1892, there are currently over 250,000 CR&rsquo;s around the country on 1,800+ campuses in every state and DC. This is but one chapter, based at the University of Oregon in Eugene. For many students, campus activism is their gateway into the Republican Party. Our organization recruits, trains, mobilizes, and engages college-aged students to win elections and advocate for conservative ideals. Whether disseminating campaign literature, canvassing neighborhoods, placing lawn signs, or calling voters, our efforts make the difference in local Republican victories and help to drive our party forward.&nbsp;</p>\r\n<p>College Republicans at the University of Oregon meet every Thursday in Lillis 175 6-7pm. Join us for discussions about news, politics, and more!</p>","College Republicans at the University of Oregon meet every Tuesday at 7pm in Lillis 175. Join us for discussions about news, politics, and more!",Tier 2 Student Organization,Active,http://uocollegerepublicans.com,http://facebook.com/UOGOP,,http://twitter.com/UOGOP,https://www.youtube.com/channel/UCVhxNnjiv2MoXRIboM2ms6A?view_as=subscriber,ASUO Student Organizations
298446,UO Foreign Policy Forum (formerly Alexander Hamilton Society),FPF,"The University of Oregon Foreign Policy Forum (FPF) is an independent, non-partisan, not-for-profit organization dedicated to promoting constructive debate and discussion on contemporary issues in foreign, economic, and national security policy.\r\n\r\nThe UO FPF particularly aims to foster a positive environment for critical engagement with a diverse array of viewpoints. All students interested in international affairs, regardless of major or political ideology, are welcome to join us!","The University of Oregon Foreign Policy Forum (FPF) is an independent, non-partisan, not-for-profit organization dedicated to promoting constructive debate and discussion on contemporary issues in foreign, economic, and national security policy.The UO ...",Hidden,Inactive,,,,,,ASUO Student Organizations
298447,University of Oregon Sales Club,UO Sales,"<p>UO Sales is a club within the Lundquist College of Business that aims to provide opportunities for students to interact and network with local and national professionals; while also equipping them with necessary sales skills, invaluable knowledge, and important resources that are necessary in order to succeed in today&rsquo;s professional world. We provide opportunities for students by hosting bi-weeikly meetings where we bring in sales professionals and by giving our members the opportunity to gain real experience through sales competitions that we attend nationwide.</p>",UO Sales is a club within the Lundquist College of Business that aims to provide opportunities for students to interact and network with local and national professionals; while also equipping them with necessary sales skills and invaluable knowledge.,Tier 2 Student Organization,Active,,https://www.facebook.com/groups/1595447807451592,https://www.instagram.com/uofosalesclub/,,,ASUO Student Organizations
298451,ACS On Campus ,,"<p>ACS On Campus&nbsp;is a nationwide collaboration of college students, faculty, and staff dedicated to eliminating cancer by working to implement the programs and mission of the American Cancer Society. With hundreds of chapters nationwide, Colleges against Cancer is showing the world that young people care and want to make a difference. By joining this club you will help honor survivors and remember loved ones, while also&nbsp;helping raise money for the American Cancer Society. We do fundraising throughout the year and host a large event during spring term. Join us in the fight against cancer!&nbsp;</p>","ACS On Campus is a nationwide collaboration of college students, faculty, and staff dedicated to eliminating cancer by working to implement the programs and mission of the American Cancer Society. ",Tier 1 Student Organization,Active,,http://facebook.com/facebook.com/uorelay,,http://twitter.com/uorelay/twitter.com,,ASUO Student Organizations
298453,Law of Intellectual Property,LIP,"<p>The Law of Intellectual Property Student Association, or LIP, is a group dedicated to exposing students at the University of Oregon to the various aspects of intellectual property (IP) law. LIP also provides students opportunities to network with practicing IP attorneys and build careers in IP law. Our mission is to generate interest in IP law among both faculty and students, to expand the IP program at the University of Oregon School of Law, and to foster a community of IP lawyers and interested parties in Eugene.</p>","The Law of Intellectual Property Student Association, or LIP, is a group dedicated to exposing students at the University of Oregon to the various aspects of intellectual property (IP) law. LIP also provides students opportunities to network with pract..",Tier 2 Student Organization,Active,,https://www.facebook.com/OregonLawLIP,https://www.instagram.com/oregon_law_lip/,,,ASUO Student Organizations
298455,Oregon Marine Student Association,OMSA,"<p>The <strong>Oregon Marine Students Association (OMSA)</strong> is a student-fee funded program which enhances the cultural and educational atmosphere of the OIMB campus. OIMB is the UO's marine lab located in the small fishing village of Charleston, OR, which is about a 2.5-hour drive from the main UO campus.&nbsp;</p>","The Oregon Marine Students Association (OMSA) is a student-fee funded program which enhances the cultural and educational atmosphere of the OIMB campus. OIMB is the UO's marine lab located in the small fishing village of Charleston, OR, which is about ...",Tier 3 Student Organization,Active,https://oimb.uoregon.edu/,https://www.facebook.com/UOOIMB,https://instagram.com/uo_oimb?igshid=lrkxtvns17d2,,https://www.youtube.com/channel/UC0gHF9lsjuw7qado6XYazvQ,ASUO Student Organizations
298457,University of Oregon Beyond War Chapter,Beyond War,"Beyond War adheres to the beliefs that war is obsolete, we are one on this planet, and the means determine the ends. Our mission is to explore, model and promote the means for humanity to live beyond war. As a student chapter, UO Beyond War aims to address the underlying roots of conflicts that often lead to violence and war, by promoting open conversation, diverse perspective, and awareness of issues that are often hidden.","Beyond War adheres to the beliefs that war is obsolete, we are one on this planet, and the means determine the ends. Our mission is to explore, model and promote the means for humanity to live beyond war. As a student chapter, UO Beyond War aims to add...",Tier 1 Student Organization,Active,,,,,,ASUO Student Organizations
298458,Public Relations Student Society of America,PRSSA,"<p>The Public Relations Student Society of America (PRSSA) is the foremost organization for students interested in public relations and communications. We seek to advance the public relations profession by nurturing generations of future professionals. We advocate rigorous academic standards for public relations education, the highest ethical principles and diversity in the profession. PRSSA is made up of more than 10,000 students and advisers organized into 300 plus Chapters in the United States and one in Argentina. We are headquartered in New York City, and led by a National Committee of PRSSA and PRSA members.</p>",The Public Relations Student Society of America (PRSSA) is the foremost organization for students interested in public relations and communications. We seek to advance the public relations profession by nurturing generations of future professionals.,Tier 3 Student Organization,Active,https://blogs.uoregon.edu/prssa/,,https://www.instagram.com/uoprssa/,http://twitter.com/uoprssa,,ASUO Student Organizations
298459,AccessABILITY Student Union,AASU,"<p>AccessABILITY Student Union is a cross-disability student group. We are students with disabilities and nondisabled allies who believe that disability can be a valued and celebrated part of identity and community. Our mission is (1) to raise awareness on campus about disabilities and disability culture, (2) to advocate for equal access in physical, academic, and social environments, and (3) to have fun and support one another. Our activities include: holding regular meetings to plan and socialize; organizing disability awareness events that involve films, panels, or cultural activities; and inviting locally and nationally recognized speakers with disabilities to UO to share their experiences. We would love to have you join us!</p>\r\n<p>&nbsp;</p>\r\n<p><span style=""text-decoration: underline;""><strong>Meetings are held Tuesday evenings from 7:30 - 8:30</strong></span></p>\r\n<p><span style=""text-decoration: underline;""><strong>Winter Term Office Hours:</strong></span></p>\r\n<p class=""x_p1""><span style=""text-decoration: underline;"">Mon</span>:</p>\r\n<p class=""x_p1"">Jordyn:<span class=""x_Apple-converted-space"">&nbsp; </span>10:00 - 12:30</p>\r\n<p class=""x_p1"">Ash: <span class=""x_Apple-converted-space"">&nbsp; </span>5:00 - 5:50</p>\r\n<p class=""x_p2"">&nbsp;</p>\r\n<p class=""x_p1""><span style=""text-decoration: underline;"">Tues</span>:</p>\r\n<p class=""x_p1"">Colin: <span class=""x_Apple-converted-space"">&nbsp; </span>11:15 - 12:45</p>\r\n<p class=""x_p1"">Ash: <span class=""x_Apple-converted-space"">&nbsp; </span>1:30 - 2:30</p>\r\n<p class=""x_p2"">&nbsp;</p>\r\n<p class=""x_p1""><span style=""text-decoration: underline;"">Wed</span>:</p>\r\n<p class=""x_p1"">Jordyn: <span class=""x_Apple-converted-space"">&nbsp; </span>10:00 - 12:30</p>\r\n<p class=""x_p1"">Becca: <span class=""x_Apple-converted-space"">&nbsp; </span>4:15 - 5:45</p>\r\n<p class=""x_p1"">&nbsp;</p>\r\n<p class=""x_p1""><span style=""text-decoration: underline;"">Thurs</span>:</p>\r\n<p class=""x_p1"">Colin: <span class=""x_Apple-converted-space"">&nbsp; </span>11:15 - 12:45</p>","	AccessABILITY Student Union is a cross-disability student group. We are students with disabilities and nondisabled allies who believe that disability can be a valued and celebrated part of identity and community. Our mission is (1) to raise awareness ...",Tier 3 Student Organization,Active,,,https://www.instagram.com/uoaasu/,,,ASUO Student Organizations
298461,University of Oregon Financial Management Association,UOFMA,"<p>The University of Oregon Financial Management Association (FMA) is a student-run organization designed to educate students on the different fields of finance within the business world. Our main goal is to help students determine if the field of finance is the one for them. We meet on odd number weeks of every term in Lillis 245 from 6-7pm. Due to COVID-19, we have moved our meetings to Zoom meetings whenever a guest speaker or quick update is needed. Our meetings&rsquo; agendas will vary from having guest speakers talk on their successes and experiences in the financial world, workshops to better prepare students for probable real-life situations, and hands-on activities to get club members interacting with one another. Further activities and events we will offer are things such as site visits and networking seminars to expose students to prominent companies and get them interacting with professionals. FMA is part of a national chapter, and here at the University of Oregon, we strive to maintain and raise the level of success that this program has reached over the years.</p>",The University of Oregon Financial Management Association (FMA) is a student-run organization designed to educate students on the different fields of finance within the business world.,Tier 1 Student Organization,Active,https://uofma.uoregon.edu,https://www.facebook.com/uofma/,https://www.instagram.com/uofma/,,,ASUO Student Organizations
298462,Child Care Subsidy,CCS,"<p>ASUO Child Care Subsidy coordinates childcare-related reimbursements for eligible UO student parents. Paid for by the ASUO, the Child Care Subsidy program is an Incidental Fee-Funded service available to all ASUO Members.</p>","ASUO Child Care Subsidy coordinates childcare-related reimbursements for eligible UO student parents. Paid for by the ASUO, the Child Care Subsidy program is an Incidental Fee-Funded service available to all ASUO Members.",Hidden,Frozen,,,,http://twitter.com/twitter.com/UOCCSubsidy,,ASUO Student Organizations
298464,Economics Club,UOEC,"<p><span style=""font-weight: 400;"">The University of Oregon Economics Club is a community for undergraduate and graduate students, faculty, and community members with an interest in economics. Our weekly meetings feature guest speakers and opportunities for discussions on current events and economics outside of a classroom setting.&nbsp;</span></p>\r\n<p><span style=""font-weight: 400;"">Through executive-led meetings, lectures from alternative departments, and other informal activities, UO Economics Club members have the chance to strengthen their connections with faculty and other students in the department. Our mission is driven by a commitment to academic excellence and supportive community relationships. You&rsquo;ll have a chance to enrich your education by meeting new friends, learning from professors in and outside of economics, and engaging in original and independent research about economics.</span></p>\r\n<p><span style=""font-weight: 400;"">We meet on Wednesdays at 6 pm in the Straub 254. We&rsquo;re active on Instagram and Twitter (@uoeconomicsclub), so check us out there!</span></p>\r\n<p><span style=""font-weight: 400;"">Questions? Email us at uoeconclub@gmail.com.</span></p>","The University of Oregon Economics Club is a community for students, faculty, and community members with an interest in economics. Our weekly meetings feature guest speakers and other opportunities for student engagement outside of a classroom setting.",Tier 2 Student Organization,Active,http://blogs.uoregon.edu/econclub/,,http://www.instagram.com/uoeconomicsclub/,,,ASUO Student Organizations
298467,Student Bar Association of University of Oregon,SBA,"<p>The University of Oregon Law Student Bar Association (SBA) is the law student government: elected representatives from each class serve as a resource and liaison in matters involving the school administration, faculty, and student services at the Law School. Every student at the law school is automatically a member of SBA, this includes all JD students, LL.M students, and CRES students.</p>",Student Bar Association (SBA) is the law student government,Tier 4 Student Organization,Active,http://oregonlawsba.com,,https://www.instagram.com/oregonlawsba/,,,ASUO Student Organizations
298469,UO Blood Drive Association,Blood Drive Club,The UO Blood Drive Association is a group of students who organize Blood Drives on the University of Oregon campus. We are dedicated to educating people about the need for blood donations and work closely with the Lane Bloodworks. Every donation can save 3 lives!,The UO Blood Drive Association is a group of students who organize Blood Drives on the University of Oregon campus. We are dedicated to educating people about the need for blood donations and work closely with the Lane Bloodworks. Every donation can sa...,Hidden,Frozen,,,,,,ASUO Student Organizations
298470,"Land, Air, Water",LAW,"<p>A law student group dedicated to promoting public interest environmental law. Each year, this organization puts on the oldest public interest environmental law conference in the country which brings together lawyers, community members, and activists to discuss important environmental issues.&nbsp;</p>",A law student group dedicated to promoting public interest environmental law.,Tier 4 Student Organization,Active,http://pielc.org,https://www.facebook.com/LandAirWater/,https://www.instagram.com/uo_landairwater/,,,ASUO Student Organizations
